Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
26;22750;"Journal of Economic Geography";journal;"14682702, 14682710";"Oxford University Press";No;No;1,932;Q1;125;44;139;3271;537;138;3,52;74,34;26,85;7;28;United Kingdom;Western Europe;"Oxford University Press";"2001-2024";"Economics and Econometrics (Q1); Geography, Planning and Development (Q1)";"Economics, Econometrics and Finance; Social Sciences"
27;29295;"Journal of Transport Geography";journal;"09666923";"Elsevier B.V.";No;No;1,900;Q1;155;245;656;16508;4998;653;6,88;67,38;34,08;2;190;United Kingdom;Western Europe;"Elsevier B.V.";"1993-2025";"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Transportation (Q1)";"Environmental Science; Social Sciences"
28;14500;"Land Use Policy";journal;"02648377";"Elsevier Ltd";No;No;1,894;Q1;171;330;1655;24836;12877;1648;6,99;75,26;37,09;6;282;United Kingdom;Western Europe;"Elsevier Ltd";"1984-2025";"Forestry (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)";"Agricultural and Biological Sciences; Environmental Science; Social Sciences"
29;21100248909;"Tourism Review";journal;"17598451, 16605373";"Emerald Group Publishing Ltd.";No;No;1,887;Q1;71;158;242;9764;2993;240;11,52;61,80;41,33;0;80;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2001-2025";"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Social Sciences"
30;22704;"Ambio";journal;"16547209, 00447447";"Springer Science and Business Media B.V.";No;No;1,862;Q1;162;139;540;10119;3764;479;6,38;72,80;44,22;17;109;Netherlands;Western Europe;"Springer Science and Business Media B.V.";"1973-2025";"Ecology (Q1); Environmental Chemistry (Q1); Geography, Planning and Development (Q1); Medicine (miscellaneous) (Q1)";"Environmental Science; Medicine; Social Sciences"
31;26874;"Building and Environment";journal;"03601323";"Elsevier B.V.";No;No;1,858;Q1;221;919;2989;63723;26163;2982;8,35;69,34;36,75;5;524;United Kingdom;Western Europe;"Elsevier B.V.";"1976-2025";"Building and Construction (Q1); Civil and Structural Engineering (Q1); Environmental Engineering (Q1); Geography, Planning and Development (Q1)";"Engineering; Environmental Science; Social Sciences"
32;13930;"Journal of Planning Literature";journal;"08854122, 15526593";"SAGE Publications Inc.";No;No;1,793;Q1;71;38;58;3638;422;55;6,49;95,74;58,23;1;26;United States;Northern America;"SAGE Publications Inc.";"1985-2025";"Geography, Planning and Development (Q1)";"Social Sciences"
33;15673;"Journal of Rural Studies";journal;"07430167";"Elsevier Ltd";No;No;1,763;Q1;146;243;839;19190;6033;836;6,68;78,97;53,71;8;183;United Kingdom;Western Europe;"Elsevier Ltd";"1985-2025";"Development (Q1); Forestry (Q1); Geography, Planning and Development (Q1); Sociology and Political Science (Q1)";"Agricultural and Biological Sciences; Social Sciences"
34;29214;"Transactions of the Institute of British Geographers";journal;"00202754, 14755661";"Wiley-Blackwell Publishing Ltd";No;No;1,727;Q1;134;93;214;6306;1089;205;5,07;67,81;50,36;2;49;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1976-2025";"Earth-Surface Processes (Q1); Geography, Planning and Development (Q1)";"Earth and Planetary Sciences; Social Sciences"
35;20838;"Transport Policy";journal;"1879310X, 0967070X";"Elsevier Ltd";No;No;1,726;Q1;134;298;741;19024;5783;731;6,58;63,84;36,34;11;234;United Kingdom;Western Europe;"Elsevier Ltd";"1993-2025";"Geography, Planning and Development (Q1); Law (Q1); Transportation (Q1)";"Social Sciences"
36;21536;"Environmental Science and Policy";journal;"18736416, 14629011";"Elsevier Ltd";No;No;1,715;Q1;160;318;812;24984;5546;799;6,55;78,57;50,49;9;282;United Kingdom;Western Europe;"Elsevier Ltd";"1998-2025";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)";"Environmental Science; Social Sciences"
37;21100316002;"Travel Behaviour and Society";journal;"2214367X";"Elsevier B.V.";No;No;1,714;Q1;56;192;335;12097;2428;328;6,88;63,01;35,20;5;134;Netherlands;Western Europe;"Elsevier B.V.";"2014-2025";"Geography, Planning and Development (Q1); Transportation (Q1)";"Social Sciences"
38;25849;"International Studies Review";journal;"15219488, 14682486";"Oxford University Press";No;No;1,709;Q1;76;55;180;3964;869;177;3,82;72,07;53,47;0;13;United States;Northern America;"Oxford University Press";"1999-2024";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
