Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
268;5600155030;"New Directions for Evaluation";journal;"10976736";"Wiley-Blackwell";No;No;0,480;Q3;50;34;126;941;205;114;1,39;27,68;69,88;0;10;United States;Northern America;"Wiley-Blackwell";"1995-2024";"Education (Q2); Strategy and Management (Q2); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
269;17700156756;"Journal of Asset Management";journal;"14708272, 1479179X";"Palgrave Macmillan Ltd.";No;No;0,478;Q2;26;49;133;1774;262;129;1,84;36,20;21,49;1;9;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2009-2025";"Business and International Management (Q2); Information Systems and Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
270;26941;"Theory and Decision";journal;"15737187, 00405833";"Springer Netherlands";No;No;0,478;Q2;48;63;164;2392;197;161;1,24;37,97;15,45;1;4;Netherlands;Western Europe;"Springer Netherlands";"1970-2025";"Arts and Humanities (miscellaneous) (Q1); Decision Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Applied Psychology (Q3); Computer Science Applications (Q3); Developmental and Educational Psychology (Q3)";"Arts and Humanities; Computer Science; Decision Sciences; Economics, Econometrics and Finance; Psychology; Social Sciences"
271;14794;"Statistics and Probability Letters";journal;"01677152";"Elsevier B.V.";No;No;0,478;Q3;76;224;575;4014;591;575;0,79;17,92;27,49;0;3;Netherlands;Western Europe;"Elsevier B.V.";"1982-2025";"Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
272;8600153118;"Mathematics and Financial Economics";journal;"18629679";"Springer Verlag";No;No;0,475;Q3;31;31;79;1063;97;78;1,08;34,29;31,43;0;4;Germany;Western Europe;"Springer Verlag";"2007-2025";"Finance (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
273;12909;"Systems Research and Behavioral Science";journal;"10991743, 10927026";"John Wiley and Sons Ltd";No;No;0,465;Q2;60;138;221;8975;591;202;2,74;65,04;32,31;0;59;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1996-2025";"Information Systems and Management (Q2); Social Sciences (miscellaneous) (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
274;145592;"Computational and Mathematical Organization Theory";journal;"1381298X";"Kluwer Academic Publishers";No;No;0,462;Q2;36;21;56;857;153;55;3,21;40,81;39,29;1;4;Netherlands;Western Europe;"Kluwer Academic Publishers";"1995, 2005-2025";"Applied Mathematics (Q2); Computational Mathematics (Q2); Computer Science (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q2); Modeling and Simulation (Q2)";"Computer Science; Decision Sciences; Mathematics"
275;21101081506;"Journal of Financial Data Science";journal;"26403951, 26403943";"With intelligence";No;No;0,459;Q2;16;35;106;1167;185;102;1,01;33,34;16,22;0;0;United Kingdom;Western Europe;"With intelligence";"2019-2025";"Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Computational Theory and Mathematics (Q2); Finance (Q2); Information Systems (Q2); Information Systems and Management (Q2); Strategy and Management (Q2); Artificial Intelligence (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Economics, Econometrics and Finance"
276;24358;"Journal of Heuristics";journal;"13811231, 15729397";"Springer Netherlands";No;No;0,458;Q3;75;14;74;522;159;73;1,82;37,29;20,00;0;2;Netherlands;Western Europe;"Springer Netherlands";"1995-2025";"Computer Networks and Communications (Q2); Information Systems (Q2); Artificial Intelligence (Q3); Control and Optimization (Q3); Management Science and Operations Research (Q3); Software (Q3)";"Computer Science; Decision Sciences; Mathematics"
277;21100828753;"Journal of Business Cycle Research";journal;"25097970, 25097962";"Springer International Publishing AG";No;No;0,455;Q3;9;15;42;530;64;42;1,36;35,33;24,00;0;5;Switzerland;Western Europe;"Springer International Publishing AG";"2016-2024";"Business and International Management (Q2); Finance (Q2); Economics and Econometrics (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
278;13130;"Distributed and Parallel Databases";journal;"09268782, 15737578";"Springer Netherlands";No;No;0,451;Q2;47;15;94;926;230;90;2,46;61,73;18,00;0;0;Netherlands;Western Europe;"Springer Netherlands";"1993-2025";"Information Systems (Q2); Information Systems and Management (Q2); Hardware and Architecture (Q3); Software (Q3)";"Computer Science; Decision Sciences"
279;15654;"Journal of Agricultural, Biological, and Environmental Statistics";journal;"10857117, 15372693";"Springer";No;No;0,441;Q3;58;109;113;4547;139;109;1,41;41,72;33,87;1;29;United States;Northern America;"Springer";"1996-2025";"Agricultural and Biological Sciences (miscellaneous) (Q2); Applied Mathematics (Q2); Environmental Science (miscellaneous) (Q2); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Agricultural and Biological Sciences; Decision Sciences; Environmental Science; Mathematics"
280;14785;"Statistics";journal;"02331888, 10294910";"Taylor and Francis Ltd.";No;No;0,439;Q3;41;75;195;2493;202;193;0,98;33,24;33,77;0;8;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1985-2025";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
281;22202;"Operations Research Letters";journal;"01676377";"Elsevier B.V.";No;No;0,437;Q3;85;103;396;2348;467;392;1,03;22,80;25,23;0;2;Netherlands;Western Europe;"Elsevier B.V.";"1981-2025";"Applied Mathematics (Q2); Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Software (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
282;12991;"RAIRO - Operations Research";journal;"12903868, 03990559";"EDP Sciences";No;No;0,437;Q3;39;243;712;10750;1668;711;2,43;44,24;35,11;0;82;France;Western Europe;"EDP Sciences";"1977-1978, 1995-2025";"Computer Science Applications (Q3); Management Science and Operations Research (Q3); Theoretical Computer Science (Q3)";"Computer Science; Decision Sciences; Mathematics"
283;25195;"Applied Stochastic Models in Business and Industry";journal;"15264025, 15241904";"John Wiley and Sons Ltd";No;No;0,428;Q3;48;126;195;3938;306;160;1,33;31,25;28,85;0;16;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1999-2025";"Business, Management and Accounting (miscellaneous) (Q2); Management Science and Operations Research (Q3); Modeling and Simulation (Q3)";"Business, Management and Accounting; Decision Sciences; Mathematics"
284;27401;"Theory of Probability and its Applications";journal;"0040585X, 10957219";"Society for Industrial and Applied Mathematics Publications";No;No;0,426;Q3;35;40;139;763;74;136;0,56;19,08;25,49;0;0;United States;Northern America;"Society for Industrial and Applied Mathematics Publications";"1996-2024";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
285;15810;"Probability in the Engineering and Informational Sciences";journal;"02699648, 14698951";"Cambridge University Press";No;No;0,425;Q3;43;49;174;1390;202;173;1,27;28,37;25,69;0;1;United Kingdom;Western Europe;"Cambridge University Press";"1987-2025";"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Engineering; Mathematics"
286;21101023959;"International Journal of Production Management and Engineering";journal;"23404876, 23405317";"Universidad Politecnica de Valencia";Yes;Yes;0,411;Q3;9;15;46;819;136;46;2,53;54,60;56,52;0;10;Spain;Western Europe;"Universidad Politecnica de Valencia";"2019-2025";"Industrial and Manufacturing Engineering (Q2); Business and International Management (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering"
287;145729;"Statistical Methods and Applications";journal;"16182510, 1613981X";"";No;No;0,411;Q3;36;58;194;2506;244;187;1,09;43,21;44,38;0;16;Germany;Western Europe;"";"1996-1997, 2000-2025";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
288;21100367884;"Statistics and Risk Modeling";journal;"21931402, 21967040";"Walter de Gruyter GmbH";No;No;0,411;Q3;22;5;14;185;28;14;2,09;37,00;28,57;0;0;Germany;Western Europe;"Walter de Gruyter GmbH";"1982-2002, 2011-2025";"Modeling and Simulation (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
289;19700181204;"OPSEARCH";journal;"00303887, 09750320";"Springer India";No;No;0,409;Q3;33;216;200;9821;513;200;2,24;45,47;27,93;0;42;India;Asiatic Region;"Springer India";"2009-2025";"Management Information Systems (Q2); Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
290;21101068186;"International Journal of Crowd Science";journal;"23987294";"Emerald Group Publishing Ltd.";Yes;Yes;0,407;Q2;17;25;71;921;174;69;2,06;36,84;32,88;0;7;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2017-2025";"Business, Management and Accounting (miscellaneous) (Q2); Computer Science (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
291;21100941199;"Statistics and Public Policy";journal;"2330443X";"Taylor and Francis Inc.";Yes;No;0,407;Q3;18;13;37;496;62;31;1,53;38,15;33,33;0;4;United States;Northern America;"Taylor and Francis Inc.";"2014-2025";"Public Administration (Q2); Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Social Sciences"
292;19700173246;"Academia Revista Latinoamericana de Administracion";journal;"10128255, 20565127";"Emerald Group Publishing Ltd.";No;No;0,405;Q3;24;38;89;2188;218;89;1,95;57,58;34,26;0;25;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Education (Q2); Public Administration (Q2); Business and International Management (Q3); Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
293;19900194826;"Journal of Global Information Technology Management";journal;"1097198X, 23336846";"Taylor and Francis Ltd.";No;No;0,402;Q2;40;20;61;1164;139;39;1,98;58,20;38,24;0;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2025";"Information Systems and Management (Q2); E-learning (Q3); Information Systems (Q3)";"Computer Science; Decision Sciences; Social Sciences"
294;21100394100;"IET Networks";journal;"20474962, 20474954";"John Wiley &amp; Sons Inc.";Yes;No;0,395;Q3;33;44;88;1952;202;86;2,33;44,36;22,22;0;15;United Kingdom;Western Europe;"John Wiley &amp; Sons Inc.";"2014-2025";"Computer Networks and Communications (Q3); Control and Optimization (Q3); Management Science and Operations Research (Q3)";"Computer Science; Decision Sciences; Mathematics"
295;21101093023;"Probability, Uncertainty and Quantitative Risk";journal;"23670126, 20959672";"American Institute of Mathematical Sciences";No;No;0,394;Q3;13;24;65;733;66;64;0,76;30,54;33,33;0;1;United States;Northern America;"American Institute of Mathematical Sciences";"2016-2024";"Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
296;12120;"Journal of Nonparametric Statistics";journal;"10290311, 10485252";"Taylor and Francis Ltd.";No;No;0,389;Q3;46;95;106;3338;108;103;0,92;35,14;33,88;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1991-2025";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
297;14363;"INFOR";journal;"03155986, 19160615";"Taylor and Francis Ltd.";No;No;0,387;Q3;38;38;52;1785;97;44;1,73;46,97;32,99;0;9;Canada;Northern America;"Taylor and Francis Ltd.";"1971-1989, 1996-2025";"Computer Science Applications (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Signal Processing (Q3)";"Computer Science; Decision Sciences"
298;21100838017;"Sankhya B";journal;"09768394, 09768386";"Springer India";No;No;0,387;Q3;14;34;112;1076;108;111;0,73;31,65;22,50;0;2;India;Asiatic Region;"Springer India";"2010-2025";"Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
299;21101019334;"Journal of Business Analytics";journal;"2573234X, 25732358";"Taylor and Francis Ltd.";No;No;0,382;Q2;12;21;43;1503;122;42;2,40;71,57;31,25;0;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2025";"Industrial and Manufacturing Engineering (Q2); Information Systems and Management (Q2); Management Information Systems (Q2); Artificial Intelligence (Q3); Information Systems (Q3); Management Science and Operations Research (Q3); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
300;21100301413;"Journal of the Operations Research Society of China";journal;"21946698, 2194668X";"Springer International Publishing";No;No;0,382;Q3;23;99;176;2931;237;173;1,43;29,61;32,44;1;3;Switzerland;Western Europe;"Springer International Publishing";"2013-2025";"Mathematics (miscellaneous) (Q2); Applied Mathematics (Q3); Management Science and Operations Research (Q3)";"Decision Sciences; Mathematics"
301;21805;"Mathematical Methods of Operations Research";journal;"14325217, 14322994";"Physica-Verlag";No;No;0,382;Q3;56;44;112;1558;138;109;1,09;35,41;31,91;0;2;Germany;Western Europe;"Physica-Verlag";"1996-2025";"Mathematics (miscellaneous) (Q2); Management Science and Operations Research (Q3); Software (Q3)";"Computer Science; Decision Sciences; Mathematics"
302;21100945715;"Journal of International Logistics and Trade";journal;"25087592, 17382122";"Jungseok Research Institute of International Logistics and Trade";Yes;Yes;0,379;Q3;9;9;39;474;100;38;2,78;52,67;17,65;0;9;South Korea;Asiatic Region;"Jungseok Research Institute of International Logistics and Trade";"2018-2024";"Management Information Systems (Q2); Economics and Econometrics (Q3); Management Science and Operations Research (Q3); Marketing (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
303;21100935763;"Health Systems";journal;"20476973, 20476965";"Taylor and Francis Inc.";No;No;0,377;Q3;22;35;75;2019;151;73;1,81;57,69;37,27;1;10;United States;Northern America;"Taylor and Francis Inc.";"2012-2025";"Computer Science Applications (Q3); Health Informatics (Q3); Health Information Management (Q3); Health Policy (Q3); Human-Computer Interaction (Q3); Information Systems (Q3); Management Science and Operations Research (Q3)";"Computer Science; Decision Sciences; Health Professions; Medicine"
304;19700188202;"International Journal of Digital Accounting Research";journal;"15778517";"Rutgers University";No;No;0,376;Q2;20;5;21;166;72;21;2,54;33,20;36,36;0;2;United States;Northern America;"Rutgers University";"2010-2024";"Information Systems and Management (Q2); Accounting (Q3); Finance (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
305;21100888787;"Annals of Economics and Statistics";journal;"21154430, 19683863";"Groupe des ecoles nationales d'economie et statistique";No;No;0,375;Q3;7;22;57;1155;38;54;0,64;52,50;36,21;0;9;France;Western Europe;"Groupe des ecoles nationales d'economie et statistique";"2018-2024";"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
306;145274;"Journal of Statistical Mechanics: Theory and Experiment";journal;"17425468";"Institute of Physics";No;No;0,373;Q3;95;252;770;12941;1059;769;1,26;51,35;18,66;0;12;United Kingdom;Western Europe;"Institute of Physics";"2004-2025";"Statistical and Nonlinear Physics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics; Physics and Astronomy"
307;21101046369;"Brazilian Journal of Operations and Production Management";journal;"16798171, 22378960";"Associacao Brasileira de Engenharia de Producao";Yes;Yes;0,367;Q3;16;32;99;2004;227;96;1,81;62,63;28,74;0;22;Brazil;Latin America;"Associacao Brasileira de Engenharia de Producao";"2019-2025";"Industrial and Manufacturing Engineering (Q2); Computer Science Applications (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
308;21100896490;"ETS Research Report Series";journal;"23308516";"John Wiley &amp; Sons Inc.";No;No;0,365;Q3;26;15;57;1087;78;57;0,90;72,47;35,19;0;7;United States;Northern America;"John Wiley &amp; Sons Inc.";"1996-2014, 2018-2024";"Applied Psychology (Q3); Education (Q3); Social Psychology (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Psychology; Social Sciences"
309;21100385807;"International Journal of Emergency Services";journal;"20470908, 20470894";"Emerald Group Publishing Ltd.";No;No;0,358;Q3;19;23;80;1076;147;75;1,75;46,78;24,39;0;8;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2012-2025";"Safety Research (Q2); Management Science and Operations Research (Q3)";"Decision Sciences; Social Sciences"
310;21100896926;"Creativity";journal;"23540036";"Sciendo";Yes;No;0,357;Q3;10;15;51;979;74;51;0,88;65,27;40,54;0;3;Poland;Eastern Europe;"Sciendo";"2018-2025";"Visual Arts and Performing Arts (Q1); Arts and Humanities (miscellaneous) (Q2); Education (Q3); Social Psychology (Q3); Statistics, Probability and Uncertainty (Q3)";"Arts and Humanities; Decision Sciences; Psychology; Social Sciences"
311;19700187506;"International Journal of Shipping and Transport Logistics";journal;"17566517, 17566525";"Inderscience Enterprises Ltd";No;No;0,356;Q3;31;44;105;2412;188;103;1,51;54,82;35,07;0;15;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2009-2024";"Business and International Management (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
312;10900153307;"Journal of Simulation";journal;"17477778, 17477786";"Taylor and Francis Ltd.";No;No;0,356;Q3;34;85;114;4724;257;111;2,41;55,58;29,54;0;35;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2008-2025";"Industrial and Manufacturing Engineering (Q2); Management Science and Operations Research (Q3); Modeling and Simulation (Q3); Software (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
313;21100826286;"Fuzzy Information and Engineering";journal;"16168658, 16168666";"Tsinghua University Press";Yes;Yes;0,353;Q3;27;20;81;750;177;81;2,18;37,50;23,40;0;1;United Kingdom;Western Europe;"Tsinghua University Press";"2011, 2014-2024";"Industrial and Manufacturing Engineering (Q2); Applied Mathematics (Q3); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Logic (Q3); Management Science and Operations Research (Q3); Theoretical Computer Science (Q3)";"Computer Science; Decision Sciences; Engineering; Mathematics"
314;21100775412;"Foresight and STI Governance";journal;"23129972, 25002597";"National Research University, Higher School of Econoimics";Yes;Yes;0,352;Q2;27;29;89;1662;179;88;1,55;57,31;39,39;0;18;Russian Federation;Eastern Europe;"National Research University, Higher School of Econoimics";"2015-2024";"Decision Sciences (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); History and Philosophy of Science (Q2); Social Sciences (miscellaneous) (Q2); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Development (Q3); Management of Technology and Innovation (Q3); Statistics, Probability and Uncertainty (Q3); Strategy and Management (Q3)";"Arts and Humanities; Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
315;21100896488;"International Journal of Business Intelligence Research";journal;"19473605, 19473591";"IGI Global Publishing";No;No;0,352;Q2;10;3;14;208;36;14;3,25;69,33;16,67;0;0;United States;Northern America;"IGI Global Publishing";"2018-2024";"Information Systems and Management (Q2); Management Information Systems (Q2); Statistics, Probability and Uncertainty (Q3)";"Business, Management and Accounting; Decision Sciences"
316;21100936589;"Journal of ICT Standardization";journal;"2245800X, 22460853";"River Publishers";No;No;0,352;Q2;11;19;72;530;174;67;2,62;27,89;40,00;0;4;Denmark;Western Europe;"River Publishers";"2014-2024";"Information Systems and Management (Q2); Computer Networks and Communications (Q3); Computer Science Applications (Q3); Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences"
317;19900191855;"Advances in Operations Research";journal;"16879155, 16879147";"John Wiley and Sons Ltd";Yes;No;0,352;Q3;20;3;23;128;33;23;1,75;42,67;28,57;0;0;United States;Northern America;"John Wiley and Sons Ltd";"2009-2024";"Management Science and Operations Research (Q3)";"Decision Sciences"
318;21100894767;"INFORMS Transactions on Education";journal;"15320545";"INFORMS Institute for Operations Research and the Management Sciences";Yes;Yes;0,345;Q3;8;19;59;553;71;55;1,22;29,11;30,19;0;4;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"2018-2024";"Management Information Systems (Q2); Education (Q3); Management Science and Operations Research (Q3)";"Business, Management and Accounting; Decision Sciences; Social Sciences"
319;21101133575;"Journal of International Crisis and Risk Communication Research";journal;"25760025, 25760017";"Nicholson School of Communication and Media";Yes;No;0,343;Q3;13;0;43;0;99;41;1,00;0,00;0,00;0;0;United States;Northern America;"Nicholson School of Communication and Media";"2019-2023";"Communication (Q2); Safety Research (Q2); Decision Sciences (miscellaneous) (Q3)";"Decision Sciences; Social Sciences"
320;20500195024;"Journal of Quantitative Analysis in Sports";journal;"21946388, 15590410";"Walter de Gruyter GmbH";No;No;0,343;Q3;26;31;61;914;107;61;1,53;29,48;14,10;0;2;Germany;Western Europe;"Walter de Gruyter GmbH";"2011-2025";"Social Sciences (miscellaneous) (Q2); Decision Sciences (miscellaneous) (Q3)";"Decision Sciences; Social Sciences"
321;21100901206;"IAES International Journal of Artificial Intelligence";journal;"20894872, 22528938";"Institute of Advanced Engineering and Science";Yes;No;0,341;Q2;27;482;494;16692;1439;494;2,68;34,63;34,46;0;147;Indonesia;Asiatic Region;"Institute of Advanced Engineering and Science";"2018-2025";"Information Systems and Management (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3)";"Computer Science; Decision Sciences; Engineering"
322;21101050920;"Business, Management and Economics Engineering";journal;"2669249X, 26692481";"Vilnius Gediminas Technical University";Yes;No;0,341;Q3;11;21;59;1302;152;59;2,81;62,00;41,27;0;12;Lithuania;Eastern Europe;"Vilnius Gediminas Technical University";"2021-2024";"Economics, Econometrics and Finance (miscellaneous) (Q2); Business and International Management (Q3); Development (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Social Sciences"
323;21101039666;"Operational Research in Engineering Sciences: Theory and Applications";journal;"26201747, 26201607";"Regional Association for Security and crisis management";Yes;No;0,341;Q3;27;45;102;2289;305;102;3,15;50,87;34,44;0;20;Serbia;Eastern Europe;"Regional Association for Security and crisis management";"2018-2024";"Engineering (miscellaneous) (Q2); Management Science and Operations Research (Q3)";"Decision Sciences; Engineering"
324;19700175219;"Iranian Journal of Fuzzy Systems";journal;"17350654";"University of Sistan and Baluchestan";Yes;No;0,340;Q2;39;66;237;2511;351;237;1,55;38,05;20,74;0;4;Iran;Middle East;"University of Sistan and Baluchestan";"2004-2025";"Information Systems and Management (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Mathematics (miscellaneous) (Q3)";"Computer Science; Decision Sciences; Mathematics"
325;21100943826;"Journal of Transport and Supply Chain Management";journal;"19955235, 23108789";"AOSIS (Pty) Ltd";Yes;No;0,338;Q2;10;31;86;1546;158;80;1,82;49,87;41,94;0;22;South Africa;Africa;"AOSIS (Pty) Ltd";"2018-2024";"Industrial and Manufacturing Engineering (Q2); Information Systems and Management (Q2); Management Information Systems (Q3); Management Science and Operations Research (Q3); Transportation (Q3)";"Business, Management and Accounting; Decision Sciences; Engineering; Social Sciences"
326;23241;"International Journal of Game Theory";journal;"14321270, 00207276";"Springer Verlag";No;No;0,337;Q3;49;57;122;1322;64;122;0,44;23,19;18,10;0;0;Germany;Western Europe;"Springer Verlag";"1971, 1973-2025";"Social Sciences (miscellaneous) (Q2); Economics and Econometrics (Q3); Mathematics (miscellaneous) (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics; Social Sciences"
327;23492;"Yugoslav Journal of Operations Research";journal;"03540243, 23346043";"Faculty of Organizational Sciences, University of Belgrade";Yes;Yes;0,336;Q3;26;29;103;1126;162;103;1,79;38,83;26,76;0;5;Serbia;Eastern Europe;"Faculty of Organizational Sciences, University of Belgrade";"1994-1997, 1999-2024";"Management Science and Operations Research (Q3)";"Decision Sciences"
328;21100255064;"Mendel";journal;"25713701, 18033814";"Brno University of Technology";Yes;No;0,335;Q3;16;5;72;119;90;72;1,31;23,80;38,89;0;0;Czech Republic;Eastern Europe;"Brno University of Technology";"2005-2007, 2009-2024";"Artificial Intelligence (Q3); Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Decision Sciences (miscellaneous) (Q3); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Engineering; Mathematics"
329;28426;"Australian and New Zealand Journal of Statistics";journal;"1467842X, 13691473";"Wiley-Blackwell Publishing Ltd";No;No;0,334;Q3;47;20;76;695;74;76;0,79;34,75;27,78;0;3;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2025";"Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
330;21100843362;"Stochastics and Quality Control";journal;"23672390, 23672404";"Walter de Gruyter GmbH";No;No;0,333;Q3;16;13;35;257;32;34;0,96;19,77;26,92;0;0;Germany;Western Europe;"Walter de Gruyter GmbH";"2001-2013, 2017-2025";"Applied Mathematics (Q3); Discrete Mathematics and Combinatorics (Q3); Safety, Risk, Reliability and Quality (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Engineering; Mathematics"
331;21100886533;"Journal of Information Technology Case and Application Research";journal;"15228053, 23336897";"Taylor and Francis Ltd.";No;No;0,332;Q2;22;21;63;816;409;33;8,56;38,86;26,09;0;4;United States;Northern America;"Taylor and Francis Ltd.";"2005-2025";"Information Systems and Management (Q2); Management Science and Operations Research (Q3)";"Decision Sciences"
332;21100444451;"Austrian Journal of Statistics";journal;"27914852, 1026597X";"Austrian Statistical Society";Yes;Yes;0,331;Q3;15;35;106;1065;116;106;1,11;30,43;34,67;0;6;Austria;Western Europe;"Austrian Statistical Society";"2014-2025";"Applied Mathematics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Mathematics"
333;21100394266;"International Journal of Agile Systems and Management";journal;"17419174, 17419182";"Inderscience";No;No;0,329;Q3;29;23;64;1831;121;64;1,69;79,61;27,94;0;7;Switzerland;Western Europe;"Inderscience";"2006-2009, 2011-2025";"Engineering (miscellaneous) (Q2); Multidisciplinary (Q2); Computer Science (miscellaneous) (Q3); Decision Sciences (miscellaneous) (Q3); Industrial and Manufacturing Engineering (Q3); Management Information Systems (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering; Multidisciplinary"
334;21100890652;"British Actuarial Journal";journal;"13573217, 20440456";"Cambridge University Press";No;No;0,327;Q3;6;21;58;697;23;41;0,40;33,19;23,08;0;5;United Kingdom;Western Europe;"Cambridge University Press";"2018-2025";"Economics and Econometrics (Q3); Statistics and Probability (Q3); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
