Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
26;20039;"International Journal of Operations and Production Management";journal;"17586593, 01443577";"Emerald Group Publishing Ltd.";No;No;2,876;Q1;170;113;265;8887;3259;261;10,18;78,65;30,50;0;57;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1985, 1995-2025";"Decision Sciences (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
27;21101092899;"Communications in Transportation Research";journal;"27724247";"Tsinghua University Press";Yes;No;2,836;Q1;30;40;75;1780;972;64;12,77;44,50;27,52;0;18;China;Asiatic Region;"Tsinghua University Press";"2021-2025";"Control and Systems Engineering (Q1); Decision Sciences (miscellaneous) (Q1); Transportation (Q1)";"Decision Sciences; Engineering; Social Sciences"
28;19165;"International Journal of Production Economics";journal;"09255273";"Elsevier B.V.";No;No;2,833;Q1;248;280;871;19631;12219;862;12,32;70,11;30,72;0;140;Netherlands;Western Europe;"Elsevier B.V.";"1991-2025";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance; Engineering"
29;21101180570;"Innovation and Green Development";journal;"29497531";"Elsevier B.V.";Yes;No;2,817;Q1;27;60;47;4647;874;46;18,60;77,45;26,11;1;53;Netherlands;Western Europe;"Elsevier B.V.";"2022-2025";"Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Business, Management and Accounting; Decision Sciences; Energy"
30;19700201522;"Journal of Business Logistics";journal;"21581592, 07353766";"John Wiley &amp; Sons Inc.";No;No;2,768;Q1;102;40;87;4524;1109;74;10,26;113,10;22,73;3;10;United States;Northern America;"John Wiley &amp; Sons Inc.";"2001-2025";"Business, Management and Accounting (miscellaneous) (Q1); Management Science and Operations Research (Q1)";"Business, Management and Accounting; Decision Sciences"
31;21100332429;"Annual Review of Statistics and Its Application";journal;"23268298, 2326831X";"Annual Reviews Inc.";No;No;2,766;Q1;48;23;74;2140;838;74;9,62;93,04;31,03;1;6;United States;Northern America;"Annual Reviews Inc.";"2014-2024";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
32;20893;"Transportation Research Part C: Emerging Technologies";journal;"0968090X";"Elsevier Ltd";No;No;2,734;Q1;196;378;1096;22377;11457;1092;9,22;59,20;26,15;0;195;United Kingdom;Western Europe;"Elsevier Ltd";"1993-2025";"Automotive Engineering (Q1); Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Computer Science; Decision Sciences; Engineering; Social Sciences"
33;21100198229;"Statistics Surveys";journal;"19357516";"Institute of Mathematical Statistics";Yes;No;2,664;Q1;28;5;16;707;259;16;19,67;141,40;38,89;0;0;United States;Northern America;"Institute of Mathematical Statistics";"2007-2024";"Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
34;25829;"Probability Theory and Related Fields";journal;"01788051, 14322064";"Springer New York";No;No;2,631;Q1;94;108;219;4688;507;217;1,99;43,41;21,24;0;0;Germany;Western Europe;"Springer New York";"1986-2025";"Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Mathematics"
35;20892;"Transportation Research Part B: Methodological";journal;"01912615";"Elsevier Ltd";No;No;2,589;Q1;183;145;412;7826;3242;409;6,60;53,97;25,73;0;57;United Kingdom;Western Europe;"Elsevier Ltd";"1979-2025";"Civil and Structural Engineering (Q1); Management Science and Operations Research (Q1); Transportation (Q1)";"Decision Sciences; Engineering; Social Sciences"
